id,produit,nom,premier_mot,genre,nombre,dernière lettre
619,373,Brassard de flottaison,Brassard,masculin,singulier,d
511,217,Brique,Brique,féminin,singulier,e
1240,72,Brique de lait,Brique,féminin,singulier,e
1241,72,Brique de jus,Brique,féminin,singulier,e
1242,72,Brique de soupe,Brique,féminin,singulier,e
1243,72,"Brique alimentaire (jus, lait...)",Brique,féminin,singulier,e
737,73,Briquet,Briquet,masculin,singulier,t
263,244,Broche à gazon,Broche,féminin,singulier,e
141,145,Brosse à cheveux électrique,Brosse,féminin,singulier,e
142,145,Brosse à dents électrique,Brosse,féminin,singulier,e
264,244,Brosse de nettoyage,Brosse,féminin,singulier,e
735,74,Brosse à cheveux,Brosse,féminin,singulier,e
736,74,Brosse à dents,Brosse,féminin,singulier,e
265,244,Brouette,Brouette,féminin,singulier,e
696,347,Broyeur thermique  à végétaux,Broyeur,masculin,singulier,r
1922,60,brumisateur aérosol,brumisateur,masculin,singulier,r
884,97,Bubble-gum,Bubble-gum,masculin,singulier,m
266,244,Bucheronnage,Bucheronnage,masculin,singulier,e
1671,225,Buffet,Buffet,masculin,singulier,t
1783,225,Bureau,Bureau,masculin,singulier,u
267,244,Burin,Burin,masculin,singulier,n
268,244,Buse,Buse,féminin,singulier,e
1539,369,But de football,But,masculin,singulier,t
65,364,Caban,Caban,masculin,singulier,n
1004,219,Câble,Câble,masculin,singulier,e
269,244,Cache poubelle,Cache,masculin,singulier,e
1488,222,Cachet de médicament,Cachet,masculin,singulier,t
734,75,Cadavre d'animal,Cadavre,masculin,singulier,e
113,16,Cadenas,Cadenas,masculin,pluriel,s
1413,206,Cadre à lattes,Cadre,masculin,singulier,e
1601,369,Cadre de vélo,Cadre,masculin,singulier,e
1669,225,Cadre de lit,Cadre,masculin,singulier,e
733,158,Café (marc),Café,masculin,singulier,é
21,265,Cafetière,Cafetière,féminin,singulier,e
1629,400,Cage pour animaux,Cage,féminin,singulier,e
1360,77,"Cageot, caissette en bois","Cageot,",masculin,pluriel,","
1359,77,cagette en bois,cagette,féminin,pluriel,e
1049,78,Cahier à spirale,Cahier,masculin,singulier,r
1051,78,Cahier,Cahier,masculin,singulier,r
1696,225,Caisson de meuble,Caisson,masculin,singulier,n
1785,225,Caisson (meuble),Caisson,masculin,singulier,n
1817,225,Caisson à tiroirs (y compris à roulettes),Caisson,masculin,singulier,n
1827,225,Caisson de rangement pour bureau (y compris à roulettes),Caisson,masculin,singulier,n
1371,86,Calage en carton,Calage,masculin,singulier,e
995,414,Calculatrice,Calculatrice,féminin,singulier,e
270,244,Cale de ponçage,Cale,féminin,singulier,e
1372,86,Cale en carton,Cale,féminin,singulier,e
62,364,Caleçon,Caleçon,masculin,singulier,n
1050,78,Calendrier,Calendrier,masculin,singulier,r
1046,78,Calepin,Calepin,masculin,singulier,n
123,145,Caméscope,Caméscope,masculin,singulier,e
559,194,Camion non motorisé,Camion,masculin,singulier,n
487,357,Camionette,Camionette,féminin,singulier,e
1695,225,Canapé,Canapé,masculin,singulier,é
1863,225,Canapé de jardin,Canapé,masculin,singulier,é
1864,225,Canapé-lit,Canapé-lit,masculin,singulier,t
1329,81,Canette,Canette,féminin,singulier,e
1310,434,Canif,Canif,masculin,singulier,f
1082,370,Canne à pêche,Canne,féminin,singulier,e
731,82,Caoutchouc (hors pneus),Caoutchouc,masculin,singulier,c
1328,81,capsule de bouteille de bière,capsule,féminin,singulier,e
730,83,Capsules de café ou de thé,Capsules,féminin,pluriel,s
670,443,Capteur de glucose en continu,Capteur,masculin,singulier,r
775,20,Carabine,Carabine,féminin,singulier,e
526,242,Carcasse,Carcasse,féminin,singulier,e
1048,78,Carnet,Carnet,masculin,singulier,t
931,202,Carottes,Carottes,féminin,pluriel,s
1070,424,Carpette,Carpette,féminin,singulier,e
271,244,Carport non maçonné,Carport,masculin,singulier,t
272,244,Carré potager,Carré,masculin,singulier,é
494,271,carreaux de plâtre,carreaux,masculin,pluriel,x
521,125,Carrelage,Carrelage,masculin,singulier,e
205,164,Cartable,Cartable,masculin,singulier,e
565,194,Carte à collectionner,Carte,féminin,singulier,e
998,84,Carte RFID,Carte,masculin,singulier,e
1018,85,"Carte à puce (bancaire, de téléphone, d'identité)",Carte,féminin,singulier,e
1031,54,Carton à pizza,Carton,masculin,singulier,n
1041,409,Carton,Carton,masculin,singulier,n
1042,87,"Carton d'emballage de grande taille (électroménager, meuble...)",Carton,masculin,singulier,n
1374,86,Carton de petite taille,Carton,féminin,singulier,n
1,420,Cartouche de gaz vide (non rechargeable),Cartouche,féminin,singulier,e
10,89,Cartouche d'encre d'imprimante,Cartouche,féminin,singulier,e
11,89,"Cartouche d'impression (à jet d'encre, laser)",Cartouche,féminin,singulier,e
146,449,Cartouche pour siphon à chantilly,Cartouche,féminin,singulier,e
148,449,Cartouche de gaz hilarant,Cartouche,féminin,singulier,e
150,449,Cartouche de protoxyde d'azote,Cartouche,féminin,singulier,e
273,244,Cartouche pour masque,Cartouche,féminin,singulier,e
1195,429,Cartouche filtrante d'eau,Cartouche,féminin,singulier,e
1197,429,Cartouche Brita,Cartouche,féminin,singulier,e
1199,429,Cartouche de filtration d'eau,Cartouche,féminin,singulier,e
663,430,"Cartouche, douille usagée, balle (tir sportif)","Cartouche,",féminin,singulier,","
1786,225,Casier à bouteille,Casier,masculin,singulier,r
1794,225,Casier à vin,Casier,masculin,singulier,r
1905,225,Casier de rangement,Casier,masculin,singulier,r
274,244,Casque (bricolage),Casque,masculin,singulier,e
275,244,Casque de soudeur,Casque,masculin,singulier,e
276,244,Casque de chantier,Casque,masculin,singulier,e
620,373,"Casque de protection (ski, vélo, football américain, hockey, roller skate, skate board, bombe d'équitation, alpinisme, escalade, varappe, canyoning, patinage artistique, hockey sur glace, curling…)",Casque,masculin,singulier,e
650,373,Casque de vélo,Casque,masculin,singulier,e
651,373,Casque de trotinette,Casque,masculin,singulier,e
729,90,Casque,Casque,masculin,singulier,e
1067,398,Casquette,Casquette,féminin,singulier,e
591,194,Casse-tête,Casse-tête,masculin,singulier,e
1301,434,Casserole,Casserole,féminin,singulier,e
1787,225,Casserolier,Casserolier,masculin,singulier,r
1366,212,Catalogue,Catalogue,masculin,singulier,e
1286,421,Catamaran,Catamaran,masculin,singulier,n
680,91,Cathéter tout en un,Cathéter,masculin,singulier,r
681,91,Cathéter,Cathéter,masculin,singulier,r
1385,295,Cave à vin,Cave,féminin,singulier,e
500,92,CD,CD,masculin,singulier,D
498,92,CD-ROM,CD-ROM,masculin,singulier,M
503,92,"CD/DVD, cassette (avec ou sans boîtier)","CD/DVD,",masculin,pluriel,","
502,92,CDRom,CDRom,masculin,singulier,m
621,373,Ceinture et gilet de sauvetage textile,Ceinture,féminin,singulier,e
1581,369,Ceinture de judo,Ceinture,féminin,singulier,e
1925,23,Ceinture en cuir,Ceinture,féminin,singulier,e
728,93,Cendres de bois,Cendres,féminin,pluriel,s
26,265,Centrale vapeur,Centrale,féminin,singulier,e
1632,422,Centrale photovoltaïque,Centrale,féminin,singulier,e
1582,369,Cercle de basket,Cercle,masculin,singulier,e
1541,369,Cerf-volant,Cerf-volant,masculin,singulier,t
824,167,Cerises abîmées,Cerises,féminin,pluriel,s
124,145,Chaîne hi-fi,Chaîne,féminin,singulier,e
792,2,Chaîne de neige,Chaîne,féminin,singulier,e
1126,370,Chaîne de vélo,Chaîne,féminin,singulier,e
1673,225,Chaise,Chaise,féminin,singulier,e
1680,225,Chaise de jardin,Chaise,féminin,singulier,e
1861,225,Chaise longue,chaise,féminin,singulier,e
1865,225,Chaise de massage,Chaise,féminin,singulier,e
1866,225,Chaise avec tablette,Chaise,féminin,singulier,e
1867,225,Chaise d'enfant,chaise,féminin,singulier,e
1868,225,Chaise haute,Chaise,féminin,singulier,e
1869,225,Chaise évolutive d'enfant,Chaise,féminin,singulier,e
1870,225,Chaise longue de jardin (fixe ou pliante),Chaise,féminin,singulier,e
1871,225,Chaise pliante,chaise,féminin,singulier,e
277,244,Chalet non maçonné,Chalet,masculin,singulier,t
622,373,Chambre à air de vélo,Chambre,féminin,singulier,e
742,64,Chandelle,Chandelle,féminin,singulier,e
1065,398,Chapeau,Chapeau,masculin,singulier,u
996,94,Chargeur,Chargeur,masculin,singulier,r
278,244,Chariot de manutention,chariot,masculin,singulier,t
1542,369,Chariot de golf,Chariot,masculin,singulier,t
1828,225,Chariot d'imprimante,Chariot,masculin,singulier,t
1906,225,Chariot,Chariot,masculin,singulier,t
1012,291,Chauffage électrique,Chauffage,masculin,singulier,e
999,95,Chauffe-eau,Chauffe-eau,masculin,singulier,u
1872,225,Chauffeuse,Chauffeuse,féminin,singulier,e
52,364,Chaussettes,Chaussettes,féminin,pluriel,s
1435,96,Chaussons,Chaussons,masculin,pluriel,s
1514,372,Chaussons de danse,chaussons,masculin,pluriel,s
1515,372,Chaussons de gymnastique,Chaussons,masculin,pluriel,s
1522,372,Chaussons d'escalade,Chaussons,masculin,pluriel,s
279,244,Chaussures de protection (bricolage),Chaussures,féminin,pluriel,s
